Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.91,0.91,0.31487453833080187
75% Corpus,8,symmetric,symmetric,0.3195763362193066
75% Corpus,8,symmetric,0.01,0.3231948974349343
75% Corpus,8,symmetric,0.31,0.31823903790020797
75% Corpus,8,symmetric,0.61,0.3253908123137127
75% Corpus,8,symmetric,0.91,0.32065043680394256
75% Corpus,8,asymmetric,symmetric,0.32083019016526226
75% Corpus,8,asymmetric,0.01,0.31729232344601077
75% Corpus,8,asymmetric,0.31,0.32042873602821104
75% Corpus,8,asymmetric,0.61,0.3273445481105353
75% Corpus,8,asymmetric,0.91,0.3275824151960901
75% Corpus,8,0.01,symmetric,0.3249970139881717
75% Corpus,8,0.01,0.01,0.3162087796770866
75% Corpus,8,0.01,0.31,0.3163071752040465
75% Corpus,8,0.01,0.61,0.3227422041456727
75% Corpus,8,0.01,0.91,0.31621301401910495
75% Corpus,8,0.31,symmetric,0.32010339224774154
75% Corpus,8,0.31,0.01,0.32073496169424565
75% Corpus,8,0.31,0.31,0.3208413237298843
75% Corpus,8,0.31,0.61,0.31968095460952484
75% Corpus,8,0.31,0.91,0.32035921529848205
75% Corpus,8,0.61,symmetric,0.31613022315439765
75% Corpus,8,0.61,0.01,0.31625336574598717
75% Corpus,8,0.61,0.31,0.3162464858077225
75% Corpus,8,0.61,0.61,0.31431074384834956
75% Corpus,8,0.61,0.91,0.31780946041556746
75% Corpus,8,0.91,symmetric,0.31750564443821505
75% Corpus,8,0.91,0.01,0.3206717237643415
75% Corpus,8,0.91,0.31,0.31619919362961896
75% Corpus,8,0.91,0.61,0.3166947740253819
75% Corpus,8,0.91,0.91,0.31563687432905496
75% Corpus,9,symmetric,symmetric,0.31572070334269
75% Corpus,9,symmetric,0.01,0.3213265919485112
75% Corpus,9,symmetric,0.31,0.3218967247911852
75% Corpus,9,symmetric,0.61,0.3213096229730663
75% Corpus,9,symmetric,0.91,0.3230235069588298
75% Corpus,9,asymmetric,symmetric,0.32208367805370725
75% Corpus,9,asymmetric,0.01,0.3162597565747752
75% Corpus,9,asymmetric,0.31,0.3200513243912205
75% Corpus,9,asymmetric,0.61,0.32323280347069927
75% Corpus,9,asymmetric,0.91,0.32251484229789135
75% Corpus,9,0.01,symmetric,0.32164198780116454
75% Corpus,9,0.01,0.01,0.3156857395279091
75% Corpus,9,0.01,0.31,0.3192079967913731
75% Corpus,9,0.01,0.61,0.31640503424900834
75% Corpus,9,0.01,0.91,0.32248941861621244
75% Corpus,9,0.31,symmetric,0.3169485043121104
75% Corpus,9,0.31,0.01,0.3198314606727702
75% Corpus,9,0.31,0.31,0.3184413431130893
75% Corpus,9,0.31,0.61,0.320767201148873
75% Corpus,9,0.31,0.91,0.3192639820769353
75% Corpus,9,0.61,symmetric,0.3230114350700839
75% Corpus,9,0.61,0.01,0.32014740154401206
75% Corpus,9,0.61,0.31,0.3194610973509535
75% Corpus,9,0.61,0.61,0.31643246386252544
75% Corpus,9,0.61,0.91,0.3157316078745399
75% Corpus,9,0.91,symmetric,0.3196724316963768
75% Corpus,9,0.91,0.01,0.3216770051141149
75% Corpus,9,0.91,0.31,0.3172143164930223
75% Corpus,9,0.91,0.61,0.3161235191714893
75% Corpus,9,0.91,0.91,0.31611252801393824
75% Corpus,10,symmetric,symmetric,0.32085459495558954
75% Corpus,10,symmetric,0.01,0.32265680726422635
75% Corpus,10,symmetric,0.31,0.31930786013163914
75% Corpus,10,symmetric,0.61,0.3223029334506314
75% Corpus,10,symmetric,0.91,0.3163481900407366
75% Corpus,10,asymmetric,symmetric,0.3225955211094801
75% Corpus,10,asymmetric,0.01,0.31791815692664827
75% Corpus,10,asymmetric,0.31,0.32423339243904026
75% Corpus,10,asymmetric,0.61,0.32096419850385927
75% Corpus,10,asymmetric,0.91,0.3272791434761203
75% Corpus,10,0.01,symmetric,0.32045178778076916
75% Corpus,10,0.01,0.01,0.32278000157795406
75% Corpus,10,0.01,0.31,0.32160284573366366
75% Corpus,10,0.01,0.61,0.317344010381554
75% Corpus,10,0.01,0.91,0.3236450892097634
75% Corpus,10,0.31,symmetric,0.3193918498145912
75% Corpus,10,0.31,0.01,0.3231500837789891
75% Corpus,10,0.31,0.31,0.3180668108416004
75% Corpus,10,0.31,0.61,0.32000873260055107
75% Corpus,10,0.31,0.91,0.3172252223563625
75% Corpus,10,0.61,symmetric,0.32169423744097125
75% Corpus,10,0.61,0.01,0.3191316494058015
75% Corpus,10,0.61,0.31,0.32255270027900107
75% Corpus,10,0.61,0.61,0.3142566173930435
75% Corpus,10,0.61,0.91,0.3151467145862209
75% Corpus,10,0.91,symmetric,0.31606432858492217
75% Corpus,10,0.91,0.01,0.32111813295810765
75% Corpus,10,0.91,0.31,0.31816591051812615
75% Corpus,10,0.91,0.61,0.31431597067204037
75% Corpus,10,0.91,0.91,0.31702337587127094
100% Corpus,2,symmetric,symmetric,0.3161986808913432
100% Corpus,2,symmetric,0.01,0.31619293069610854
100% Corpus,2,symmetric,0.31,0.3238711232477329
100% Corpus,2,symmetric,0.61,0.32045886344033725
100% Corpus,2,symmetric,0.91,0.31559785347108893
100% Corpus,2,asymmetric,symmetric,0.3243720249135714
100% Corpus,2,asymmetric,0.01,0.3173459930260295
100% Corpus,2,asymmetric,0.31,0.3134004744517759
100% Corpus,2,asymmetric,0.61,0.32970065384861685
100% Corpus,2,asymmetric,0.91,0.3167110001699963
100% Corpus,2,0.01,symmetric,0.3262844963210749
100% Corpus,2,0.01,0.01,0.3146752648054153
100% Corpus,2,0.01,0.31,0.3389498616323119
100% Corpus,2,0.01,0.61,0.3095351856006343
100% Corpus,2,0.01,0.91,0.3169713135615865
100% Corpus,2,0.31,symmetric,0.3154536986216918
100% Corpus,2,0.31,0.01,0.31571822474638744
100% Corpus,2,0.31,0.31,0.31483895342841617
100% Corpus,2,0.31,0.61,0.3118858342968113
100% Corpus,2,0.31,0.91,0.31554031163197604
100% Corpus,2,0.61,symmetric,0.3174697579619937
100% Corpus,2,0.61,0.01,0.3243925713141126
100% Corpus,2,0.61,0.31,0.3190637263986179
100% Corpus,2,0.61,0.61,0.317084572325385
100% Corpus,2,0.61,0.91,0.317932530689903
100% Corpus,2,0.91,symmetric,0.31555541899784545
100% Corpus,2,0.91,0.01,0.3203675517416592
100% Corpus,2,0.91,0.31,0.3144942760113407
100% Corpus,2,0.91,0.61,0.3192099011130378
100% Corpus,2,0.91,0.91,0.31559785347108893
100% Corpus,3,symmetric,symmetric,0.31929999709707085
100% Corpus,3,symmetric,0.01,0.322472463172398
100% Corpus,3,symmetric,0.31,0.3165623824476786
100% Corpus,3,symmetric,0.61,0.3140978680709663
100% Corpus,3,symmetric,0.91,0.31666939986870896
100% Corpus,3,asymmetric,symmetric,0.32051288915017934
100% Corpus,3,asymmetric,0.01,0.3146460477488558
100% Corpus,3,asymmetric,0.31,0.32172583300273305
100% Corpus,3,asymmetric,0.61,0.32785013449682626
100% Corpus,3,asymmetric,0.91,0.3158532736112213
100% Corpus,3,0.01,symmetric,0.32134042476776586
100% Corpus,3,0.01,0.01,0.31456598197434715
100% Corpus,3,0.01,0.31,0.3268281995704306
100% Corpus,3,0.01,0.61,0.3202494286641904
100% Corpus,3,0.01,0.91,0.31161869606460235
100% Corpus,3,0.31,symmetric,0.3214060091418234
100% Corpus,3,0.31,0.01,0.3256007875160763
100% Corpus,3,0.31,0.31,0.3190065567201712
100% Corpus,3,0.31,0.61,0.32199114276572266
100% Corpus,3,0.31,0.91,0.3143684798029574
100% Corpus,3,0.61,symmetric,0.32358847062640544
100% Corpus,3,0.61,0.01,0.3293729877943204
100% Corpus,3,0.61,0.31,0.3165553866108723
100% Corpus,3,0.61,0.61,0.31543902619151903
100% Corpus,3,0.61,0.91,0.31841337916395873
100% Corpus,3,0.91,symmetric,0.31694751982114655
100% Corpus,3,0.91,0.01,0.32353181948914406
100% Corpus,3,0.91,0.31,0.3209980391845192
100% Corpus,3,0.91,0.61,0.3260251001329708
100% Corpus,3,0.91,0.91,0.3130555108502215
100% Corpus,4,symmetric,symmetric,0.3190230438231888
100% Corpus,4,symmetric,0.01,0.31631896384664837
100% Corpus,4,symmetric,0.31,0.31970526030240853
100% Corpus,4,symmetric,0.61,0.3142383400559615
100% Corpus,4,symmetric,0.91,0.32148219111163456
100% Corpus,4,asymmetric,symmetric,0.31531093866177684
