Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.31,0.01,0.31312517896394254
75% Corpus,10,0.31,0.31,0.3134841959745466
75% Corpus,10,0.31,0.61,0.3108653764025506
75% Corpus,10,0.31,0.91,0.31085176640850015
75% Corpus,10,0.61,symmetric,0.31017459645581147
75% Corpus,10,0.61,0.01,0.3090038817191593
75% Corpus,10,0.61,0.31,0.30935600736242624
75% Corpus,10,0.61,0.61,0.31087616302906823
75% Corpus,10,0.61,0.91,0.31129797504541595
75% Corpus,10,0.91,symmetric,0.30862554761932365
75% Corpus,10,0.91,0.01,0.3090038817191593
75% Corpus,10,0.91,0.31,0.3093560073624262
75% Corpus,10,0.91,0.61,0.3112887881580359
75% Corpus,10,0.91,0.91,0.30941359562935816
100% Corpus,2,symmetric,symmetric,0.3124002562418775
100% Corpus,2,symmetric,0.01,0.3158983856507746
100% Corpus,2,symmetric,0.31,0.31291923187992576
100% Corpus,2,symmetric,0.61,0.3124002562418775
100% Corpus,2,symmetric,0.91,0.3135377815132208
100% Corpus,2,0.01,symmetric,0.3133076012902438
100% Corpus,2,0.01,0.01,0.31172631595773853
100% Corpus,2,0.01,0.31,0.3133076012902438
100% Corpus,2,0.01,0.61,0.310181096825738
100% Corpus,2,0.01,0.91,0.310181096825738
100% Corpus,2,0.31,symmetric,0.31647774661145567
100% Corpus,2,0.31,0.01,0.3164777466114557
100% Corpus,2,0.31,0.31,0.31647774661145567
100% Corpus,2,0.31,0.61,0.3089513704390525
100% Corpus,2,0.31,0.91,0.30895137043905246
100% Corpus,2,0.61,symmetric,0.3109092382911742
100% Corpus,2,0.61,0.01,0.30946337326560525
100% Corpus,2,0.61,0.31,0.31215377915064074
100% Corpus,2,0.61,0.61,0.31094037952695847
100% Corpus,2,0.61,0.91,0.3109403795269584
100% Corpus,2,0.91,symmetric,0.3109403795269584
100% Corpus,2,0.91,0.01,0.30988181258205716
100% Corpus,2,0.91,0.31,0.3101371658716993
100% Corpus,2,0.91,0.61,0.31013716587169937
100% Corpus,2,0.91,0.91,0.3097200651417758
100% Corpus,3,symmetric,symmetric,0.3141880487296713
100% Corpus,3,symmetric,0.01,0.31264782747541453
100% Corpus,3,symmetric,0.31,0.3141880487296713
100% Corpus,3,symmetric,0.61,0.31613377028295564
100% Corpus,3,symmetric,0.91,0.3155937129170519
100% Corpus,3,0.01,symmetric,0.31293357755371853
100% Corpus,3,0.01,0.01,0.3155937129170519
100% Corpus,3,0.01,0.31,0.31293357755371853
100% Corpus,3,0.01,0.61,0.31285098836457753
100% Corpus,3,0.01,0.91,0.31231226145849805
100% Corpus,3,0.31,symmetric,0.31201815960033025
100% Corpus,3,0.31,0.01,0.31301064662839456
100% Corpus,3,0.31,0.31,0.31201815960033025
100% Corpus,3,0.31,0.61,0.3127311102087023
100% Corpus,3,0.31,0.91,0.3108344263097132
100% Corpus,3,0.61,symmetric,0.3110145745037863
100% Corpus,3,0.61,0.01,0.3164719361375639
100% Corpus,3,0.61,0.31,0.31231797932624755
100% Corpus,3,0.61,0.61,0.30930038486081984
100% Corpus,3,0.61,0.91,0.31015942494146004
100% Corpus,3,0.91,symmetric,0.31164734441913794
100% Corpus,3,0.91,0.01,0.3157541641788562
100% Corpus,3,0.91,0.31,0.31164734441913794
100% Corpus,3,0.91,0.61,0.31188373288222243
100% Corpus,3,0.91,0.91,0.3090256336487651
100% Corpus,4,symmetric,symmetric,0.3185330803725023
100% Corpus,4,symmetric,0.01,0.31709449003182666
100% Corpus,4,symmetric,0.31,0.31853308037250233
100% Corpus,4,symmetric,0.61,0.31383903196813634
100% Corpus,4,symmetric,0.91,0.3106424687357242
100% Corpus,4,0.01,symmetric,0.3102840836376094
100% Corpus,4,0.01,0.01,0.3109088515614129
100% Corpus,4,0.01,0.31,0.3119145559260278
100% Corpus,4,0.01,0.61,0.31104349079926413
100% Corpus,4,0.01,0.91,0.3110434907992641
100% Corpus,4,0.31,symmetric,0.3092956807015582
100% Corpus,4,0.31,0.01,0.31067116319648264
100% Corpus,4,0.31,0.31,0.3092956807015582
100% Corpus,4,0.31,0.61,0.3092956807015582
100% Corpus,4,0.31,0.91,0.3098216284584283
100% Corpus,4,0.61,symmetric,0.31149944462881995
100% Corpus,4,0.61,0.01,0.3139656238237081
100% Corpus,4,0.61,0.31,0.31145659926940267
100% Corpus,4,0.61,0.61,0.31198104120058723
100% Corpus,4,0.61,0.91,0.31052469386175285
100% Corpus,4,0.91,symmetric,0.31268591454822237
100% Corpus,4,0.91,0.01,0.31181456093111737
100% Corpus,4,0.91,0.31,0.31198104120058723
100% Corpus,4,0.91,0.61,0.314370905562825
100% Corpus,4,0.91,0.91,0.31005742829761584
100% Corpus,5,symmetric,symmetric,0.31271005820795883
100% Corpus,5,symmetric,0.01,0.3134789325203096
100% Corpus,5,symmetric,0.31,0.31296720955085394
100% Corpus,5,symmetric,0.61,0.3129752901299571
100% Corpus,5,symmetric,0.91,0.3138342583877766
100% Corpus,5,0.01,symmetric,0.3130417695166837
100% Corpus,5,0.01,0.01,0.3129752901299571
100% Corpus,5,0.01,0.31,0.31365851842994963
100% Corpus,5,0.01,0.61,0.30999767697189273
100% Corpus,5,0.01,0.91,0.3099183194622514
100% Corpus,5,0.31,symmetric,0.31127589947817214
100% Corpus,5,0.31,0.01,0.31052449355485384
100% Corpus,5,0.31,0.31,0.31096358714800454
100% Corpus,5,0.31,0.61,0.3099276982274476
100% Corpus,5,0.31,0.91,0.31235216314640385
100% Corpus,5,0.61,symmetric,0.31164777466826943
100% Corpus,5,0.61,0.01,0.31163187756234245
100% Corpus,5,0.61,0.31,0.31388587527445877
100% Corpus,5,0.61,0.61,0.3124726655556196
100% Corpus,5,0.61,0.91,0.31308543745781714
100% Corpus,5,0.91,symmetric,0.3146242787546036
100% Corpus,5,0.91,0.01,0.31247200552953314
100% Corpus,5,0.91,0.31,0.3135444422665835
100% Corpus,5,0.91,0.61,0.311163927583756
100% Corpus,5,0.91,0.91,0.3115209246347902
100% Corpus,6,symmetric,symmetric,0.3108573653477206
100% Corpus,6,symmetric,0.01,0.31245472808251207
100% Corpus,6,symmetric,0.31,0.3117170208794959
100% Corpus,6,symmetric,0.61,0.31087959733399856
100% Corpus,6,symmetric,0.91,0.3101913809280948
100% Corpus,6,0.01,symmetric,0.3108795973339986
100% Corpus,6,0.01,0.01,0.31123517112724275
100% Corpus,6,0.01,0.31,0.3101913809280948
100% Corpus,6,0.01,0.61,0.3110160767723951
100% Corpus,6,0.01,0.91,0.3111851174844403
100% Corpus,6,0.31,symmetric,0.31387514865186966
100% Corpus,6,0.31,0.01,0.3146835975508516
100% Corpus,6,0.31,0.31,0.31139189286078395
100% Corpus,6,0.31,0.61,0.3128374837427283
100% Corpus,6,0.31,0.91,0.3133788657752689
100% Corpus,6,0.61,symmetric,0.3111264762790587
100% Corpus,6,0.61,0.01,0.31270691311363724
100% Corpus,6,0.61,0.31,0.3131976586648196
100% Corpus,6,0.61,0.61,0.31255133971693966
100% Corpus,6,0.61,0.91,0.3118623343248142
100% Corpus,6,0.91,symmetric,0.31360832207876105
100% Corpus,6,0.91,0.01,0.3138229716876464
100% Corpus,6,0.91,0.31,0.31176292868594185
100% Corpus,6,0.91,0.61,0.31255133971693966
100% Corpus,6,0.91,0.91,0.31022780407895073
100% Corpus,7,symmetric,symmetric,0.31069386021297046
100% Corpus,7,symmetric,0.01,0.3117204622698771
100% Corpus,7,symmetric,0.31,0.31199198870609796
100% Corpus,7,symmetric,0.61,0.31121351345377174
100% Corpus,7,symmetric,0.91,0.31155346568380454
100% Corpus,7,0.01,symmetric,0.31317763482887184
100% Corpus,7,0.01,0.01,0.31199198870609796
100% Corpus,7,0.01,0.31,0.31171462000094596
100% Corpus,7,0.01,0.61,0.3112897565455313
100% Corpus,7,0.01,0.91,0.3123325452971192
100% Corpus,7,0.31,symmetric,0.3145874152667451
100% Corpus,7,0.31,0.01,0.3094971918670358
100% Corpus,7,0.31,0.31,0.3153076433098609
100% Corpus,7,0.31,0.61,0.31628791935246686
100% Corpus,7,0.31,0.91,0.31490516446095146
100% Corpus,7,0.61,symmetric,0.3149022622918217
100% Corpus,7,0.61,0.01,0.31158192921545425
100% Corpus,7,0.61,0.31,0.31346749950804176
100% Corpus,7,0.61,0.61,0.31229806663301174
100% Corpus,7,0.61,0.91,0.312827536105398
100% Corpus,7,0.91,symmetric,0.31260338569989116
100% Corpus,7,0.91,0.01,0.31361005211336973
100% Corpus,7,0.91,0.31,0.3119660232868953
100% Corpus,7,0.91,0.61,0.3106533877192189
100% Corpus,7,0.91,0.91,0.3106260131456912
100% Corpus,8,symmetric,symmetric,0.311863641741575
100% Corpus,8,symmetric,0.01,0.3125358430928371
100% Corpus,8,symmetric,0.31,0.31218007735171466
100% Corpus,8,symmetric,0.61,0.31065428976215814
100% Corpus,8,symmetric,0.91,0.3097649750454778
100% Corpus,8,0.01,symmetric,0.31111873237327814
100% Corpus,8,0.01,0.01,0.3124212021089579
100% Corpus,8,0.01,0.31,0.3105311650470458
100% Corpus,8,0.01,0.61,0.31125575077516
100% Corpus,8,0.01,0.91,0.3112990614665115
100% Corpus,8,0.31,symmetric,0.3127330500790284
100% Corpus,8,0.31,0.01,0.3130667284774586
100% Corpus,8,0.31,0.31,0.30987667534515506
100% Corpus,8,0.31,0.61,0.3099315239339583
100% Corpus,8,0.31,0.91,0.3112594654176655
100% Corpus,8,0.61,symmetric,0.3139054536513212
