Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.91,0.61,0.43814737316570185
75% Corpus,8,0.91,0.91,0.44120727968020823
75% Corpus,9,symmetric,symmetric,0.43386374370061054
75% Corpus,9,symmetric,0.01,0.43885826658594834
75% Corpus,9,symmetric,0.31,0.4286432118604381
75% Corpus,9,symmetric,0.61,0.4321220171591048
75% Corpus,9,symmetric,0.91,0.4326986772267227
75% Corpus,9,asymmetric,symmetric,0.44789294131946
75% Corpus,9,asymmetric,0.01,0.44041851714764624
75% Corpus,9,asymmetric,0.31,0.45256931751543267
75% Corpus,9,asymmetric,0.61,0.43637817208806406
75% Corpus,9,asymmetric,0.91,0.4385687151573598
75% Corpus,9,0.01,symmetric,0.4295976536862307
75% Corpus,9,0.01,0.01,0.43387471912573955
75% Corpus,9,0.01,0.31,0.4369884938339851
75% Corpus,9,0.01,0.61,0.43906372415768957
75% Corpus,9,0.01,0.91,0.4459383978151635
75% Corpus,9,0.31,symmetric,0.4307315533363339
75% Corpus,9,0.31,0.01,0.4388977188248945
75% Corpus,9,0.31,0.31,0.432964528924141
75% Corpus,9,0.31,0.61,0.44084075687181745
75% Corpus,9,0.31,0.91,0.429434607945528
75% Corpus,9,0.61,symmetric,0.4372652888579194
75% Corpus,9,0.61,0.01,0.4418650194286656
75% Corpus,9,0.61,0.31,0.436642337482512
75% Corpus,9,0.61,0.61,0.43633681864668716
75% Corpus,9,0.61,0.91,0.4345104822428145
75% Corpus,9,0.91,symmetric,0.4376711150348819
75% Corpus,9,0.91,0.01,0.4307167308556504
75% Corpus,9,0.91,0.31,0.4375134428202047
75% Corpus,9,0.91,0.61,0.43726863522179604
75% Corpus,9,0.91,0.91,0.43373554194646624
75% Corpus,10,symmetric,symmetric,0.43671135535366173
75% Corpus,10,symmetric,0.01,0.4249254720679533
75% Corpus,10,symmetric,0.31,0.428633068568553
75% Corpus,10,symmetric,0.61,0.43184027708114864
75% Corpus,10,symmetric,0.91,0.4267259387878076
75% Corpus,10,asymmetric,symmetric,0.44260468228225414
75% Corpus,10,asymmetric,0.01,0.44592390336749765
75% Corpus,10,asymmetric,0.31,0.44725299519552336
75% Corpus,10,asymmetric,0.61,0.4412141550946188
75% Corpus,10,asymmetric,0.91,0.4531129763193163
